freqs	effects
0.1834	0.0867354
0.8243	0.126877
0.5356	0.124537
0.8347	0.0882969
0.93325	0.6472
0.6049	0.0944855
0.96841	0.195275
0.7509	0.0680402
0.8517	0.123592
0.4948	0.0687256
0.34220000000000006	0.132111
0.97059	0.1775
0.2401	0.0669054
0.204	0.107075
0.7191	0.159253
0.1572	0.196922
0.4306	0.0917072
0.5632	0.0794721
0.06979000000000002	0.150574
0.3909	0.126444
0.7378	0.0799597
0.6123	0.0952951
0.91976	0.122467
0.39149999999999996	0.0671151
0.6048	0.0778816
0.7304	0.0638392
0.3969	0.0790564
0.6627	0.0662258
0.25939999999999996	0.0821647
0.5277000000000001	0.134178
0.2038	0.109588
0.14270000000000005	0.0942858
0.10729999999999995	0.092227
0.2878	0.160867
0.593	0.0579752
0.2969	0.0732561
0.6201	0.0727718
0.756	0.0868542
0.2859	0.079294
0.37560000000000004	0.0773716
0.4842	0.0913628
0.613	0.174764
0.7001999999999999	0.0710611
0.4212	0.0815026
0.6733	0.166117
0.4051	0.06184
0.6266	0.0820444
0.08553999999999995	0.198502
0.6866	0.134414
0.3375	0.155855
0.6904	0.06485
0.3415	0.0730113
0.6002	0.061818
0.806	0.0832994
0.8014	0.0940162
0.3154	0.0578099
0.45520000000000005	0.0835493
0.6133	0.0697674
0.7503	0.106658
0.03464	0.386435
0.8025	0.148707
0.7252000000000001	0.193129
0.90427	0.111536
0.6578999999999999	0.0672805
0.3195	0.105057
0.02771	0.173293
0.060960000000000014	0.169442
0.1267	0.0916208
0.2108	0.0957518
0.5398	0.089151
0.7011	0.0659028
0.3447	0.064107
0.5957	0.0794435
0.1346	0.155265
0.04115000000000002	0.181635
0.3043	0.0665632
0.45909999999999995	0.0808362
0.3622000000000001	0.0675599
0.8767	0.0846011
0.7343	0.0627799
0.6138	0.083123
0.87	0.0908484
0.3496	0.148762
0.7019	0.0639523
0.6746	0.13239
0.42300000000000004	0.156206
0.8372999999999999	0.0989022
0.6003	0.0691178
0.35119999999999996	0.106679
0.783	0.0859637
0.5399	0.153811
0.557	0.062403
0.6839	0.100894
0.7965	0.09934
0.5496	0.0635464
0.42669999999999997	0.169179
0.5373	0.0604993
0.3211	0.0602872
0.97714	0.760367
0.7484999999999999	0.0787515
0.652	0.081194
0.8128	0.094388
0.4444	0.150864
0.6591	0.0648616
0.01919000000000004	0.30489
0.3295	0.0815703
0.3854	0.109531
0.4925999999999999	0.0600317
0.3136	0.0706485
0.7509	0.0830172
0.1508	0.0905387
0.2235	0.1
0.7769	0.0878448
0.49350000000000005	0.0580054
0.8298	0.0809722
0.09318	0.141213
0.191	0.0702476
0.2364	0.107165
0.7109	0.0958166
0.4762	0.0772896
0.5796	0.0557396
0.3911	0.0987549
0.5643	0.126026
0.8022	0.11116
0.5866	0.0563467
0.7277	0.104999
0.91331	0.102396
0.47130000000000005	0.138343
0.02134999999999998	0.191696
0.5796	0.100017
0.6385000000000001	0.064031
0.44199999999999995	0.0701035
0.8073	0.083427
0.15900000000000003	0.144528
0.6205	0.0665215
0.4658	0.0629092
0.8463	0.0802595
0.2162	0.106813
0.7961	0.11754
0.2797	0.0857629
0.6994	0.0611037
0.4652	0.0755599
0.8409	0.264091
0.3991	0.0556615
0.5314	0.0566029
0.25029999999999997	0.0742587
0.6707	0.0691643
0.4586	0.0674584
0.5694	0.123216
0.5751	0.114524
0.5904	0.0594671
0.7272000000000001	0.168413
0.38680000000000003	0.114259
0.39339999999999997	0.114009
0.1997	0.0887993
0.6103000000000001	0.133073
0.8342	0.176684
