freqs	effects
0.1483	0.0469
0.1355	0.0514
0.5697	0.0326
0.9836	0.2406
0.9062	0.096
0.7657	0.0999
0.6332	0.0337
0.108	0.057
0.8108	0.0487
0.43379999999999996	0.0395
0.5044	0.0362
0.5285	0.0284
0.3012	0.0359
0.1501	0.0444
0.6821	0.0699
0.1095	0.0812
0.8163	0.0555
0.30380000000000007	0.0492
0.5251	0.0332
0.465	0.0565
0.47009999999999996	0.0368
0.8189	0.0482
0.1174	0.1054
0.2722	0.0435
0.38949999999999996	0.037
0.6843	0.0339
0.4344	0.0379
0.4061	0.0295
0.6693	0.0355
0.8857	0.0542
0.1284	0.0639
0.8567	0.0431
0.7751	0.0489
0.1625	0.0644
0.8351	0.0642
0.8557	0.063
0.3226	0.0346
0.40859999999999996	0.0358
0.1979	0.0399
0.35650000000000004	0.0336
0.2792	0.0491
0.23409999999999997	0.0386
0.266	0.0327
0.2834	0.0486
0.1559	0.0751
0.8108	0.0643
0.5098	0.0311
0.8676	0.0615
0.17700000000000005	0.0366
0.12460000000000004	0.0488
0.4633	0.043
0.4093	0.1072
0.3545	0.0442
0.6967	0.0404
0.6472	0.0413
0.3275	0.0363
0.1554	0.0479
0.1451	0.0485
0.7671	0.0413
0.5807	0.0386
0.0662	0.0829
0.5314	0.0319
0.4927	0.037
0.695	0.0655
0.9161	0.0537
0.0693	0.3122
0.7988	0.036
0.7679	0.0386
0.3612	0.0327
0.1767	0.0752
0.9126	0.0567
0.28990000000000005	0.0345
0.405	0.0283
0.6376	0.0548
0.6392	0.0338
0.0732	0.1071
0.3025	0.0331
0.8709	0.0585
0.061000000000000054	0.0784
0.5832999999999999	0.0319
0.47019999999999995	0.0498
0.481	0.1788
0.2803	0.0395
0.26959999999999995	0.0355
0.18410000000000004	0.0554
0.36450000000000005	0.0363
0.3178	0.0543
0.6489	0.06
0.8824	0.0813
0.7152	0.042
0.3527	0.0559
0.8934	0.0662
0.44920000000000004	0.0332
0.0739	0.0782
0.5698	0.0391
0.6899	0.0351
0.3123	0.0314
0.7636000000000001	0.0403
0.8293	0.0466
0.46009999999999995	0.0368
0.30820000000000003	0.0614
0.09899999999999998	0.0692
0.8679	0.0514
0.6591	0.046
0.07079999999999997	0.0832
0.765	0.036
0.18589999999999995	0.0558
0.9232	0.0747
0.4465	0.0643
0.3275	0.049
0.1465	0.0655
0.3121	0.036
0.6451	0.0383
0.7392	0.0596
0.2607999999999999	0.0398
0.4242	0.0283
0.4766	0.0319
0.9807	0.1363
0.7319	0.0539
0.8117	0.0382
0.7789	0.0576
0.5542	0.0636
0.8891	0.0639
0.4605	0.0559
0.754	0.0373
0.6965	0.0374
0.3755	0.0352
0.5689	0.0479
0.3982	0.0367
0.7594	0.0557
0.7057	0.0469
0.5621	0.032
0.48540000000000005	0.0358
0.1956	0.0423
0.3409	0.048
0.21219999999999994	0.0443
0.5283	0.033
0.6939	0.0352
0.28400000000000003	0.0382
0.222	0.0383
0.8868	0.1157
0.9437	0.1025
0.2162	0.0511
0.07030000000000003	0.0836
0.5045999999999999	0.0484
0.921	0.1368
0.2574	0.0429
0.8971	0.0573
0.2467	0.0372
0.1437	0.0424
0.1309	0.0518
0.17420000000000002	0.0393
0.1239	0.1083
0.9728	0.1063
0.2772	0.0351
